text_id,label
16143,Neutral Comment
4744,Gratitude / Positive Feedback
12582,Gratitude / Positive Feedback
16859,Neutral Comment
5470,Complaint / Dissatisfaction
10002350,Question / Request for Help
16864,Complaint / Dissatisfaction
10004401,Question / Request for Help
6553,Complaint / Dissatisfaction
17942,Complaint / Dissatisfaction
3748,Gratitude / Positive Feedback
10001051,Suggestion / Idea
4541,Neutral Comment
7044,Complaint / Dissatisfaction
